,Ovary-AdenoCA,CNS-PiloAstro,Liver-HCC,Panc-Endocrine,Kidney-RCC,Prost-AdenoCA,Thy-AdenoCA,ColoRect-AdenoCA,Lymph-BNHL,Uterus-AdenoCA,Breast-AdenoCA,Lung-AdenoCA,Panc-AdenoCA,Eso-AdenoCA,Head-SCC,CNS-Medullo,CNS-GBM,Skin-Melanoma,Lymph-CLL,Kidney-ChRCC,Stomach-AdenoCA,Lung-SCC,Bone-Osteosarc,Myeloid-MPN
Bin_1136,0.18571428571428572,0.08,0.03636363636363636,0.1324200913242009,0.04054054054054054,0.0,0.2222222222222222,0.0,0.22440944881889763,0.02702702702702703,0.0872093023255814,0.0,0.0,0.0,0.0,0.375,0.042105263157894736,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0
Bin_1137,0.0,0.0,0.0,0.0182648401826484,0.0,0.010752688172043012,0.4444444444444444,0.0,0.007874015748031496,0.02702702702702703,0.13953488372093023,0.0,0.011627906976744186,0.0,0.2727272727272727,0.20833333333333334,0.14736842105263157,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bin_1138,0.014285714285714285,0.0,0.0,0.0958904109589041,0.0,0.021505376344086023,0.3888888888888889,0.0,0.05511811023622047,0.018018018018018018,0.09883720930232558,0.0,0.05813953488372093,0.0,0.09090909090909091,0.0,0.2736842105263158,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0
Bin_1139,0.07142857142857142,0.0,0.0,0.1461187214611872,0.0,0.021505376344086023,0.2777777777777778,0.0,0.0,0.08108108108108109,0.436046511627907,0.0,0.06976744186046512,0.012048192771084338,0.2727272727272727,0.0,0.21052631578947367,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0
Bin_1140,0.17142857142857143,0.0,0.07272727272727272,0.2785388127853881,0.06756756756756757,0.0,0.4444444444444444,0.0,0.24803149606299213,0.009009009009009009,0.3372093023255814,0.0,0.08139534883720931,0.03614457831325301,0.36363636363636365,0.041666666666666664,0.031578947368421054,0.0,0.0,0.0,0.0,0.0,0.024096385542168676,0.0
Bin_1141,0.2571428571428571,0.14,0.07272727272727272,0.5753424657534246,0.13513513513513514,0.010752688172043012,0.2777777777777778,0.0,0.27165354330708663,0.06306306306306306,0.05813953488372093,0.0,0.011627906976744186,0.0963855421686747,0.09090909090909091,0.20833333333333334,0.1368421052631579,0.0,0.0,0.0,0.0,0.0,0.03614457831325301,0.0
Bin_1142,0.1,0.08,0.0,0.4246575342465753,0.05405405405405406,0.03225806451612903,0.3888888888888889,0.0,0.11811023622047244,0.14414414414414414,0.08139534883720931,0.0,0.023255813953488372,0.024096385542168676,0.0,0.4583333333333333,0.2631578947368421,0.0425531914893617,0.0,0.0,0.0,0.0,0.03614457831325301,0.0
Bin_1143,0.22857142857142856,0.02,0.0,0.1735159817351598,0.0,0.021505376344086023,0.2222222222222222,0.0,0.0,0.07207207207207207,0.6337209302325582,0.0,0.13953488372093023,0.0,0.2727272727272727,0.08333333333333333,0.11578947368421053,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bin_1144,0.0,0.0,0.05454545454545454,0.0776255707762557,0.02702702702702703,0.0,0.4444444444444444,0.0,0.14960629921259844,0.009009009009009009,0.005813953488372093,0.0,0.0,0.024096385542168676,0.0,0.25,0.17894736842105263,0.0,0.0,0.0,0.0,0.0,0.012048192771084338,0.0
Bin_1145,0.15714285714285714,0.18,0.0,0.5753424657534246,0.0,0.03225806451612903,0.16666666666666666,0.0,0.07874015748031496,0.12612612612612611,0.5930232558139535,0.0,0.13953488372093023,0.0,0.18181818181818182,0.08333333333333333,0.16842105263157894,0.02127659574468085,0.0,0.0,0.0,0.0,0.012048192771084338,0.0
Bin_1146,0.12857142857142856,0.24,0.03636363636363636,0.2191780821917808,0.013513513513513514,0.021505376344086023,0.4444444444444444,0.0,0.15748031496062992,0.09009009009009009,0.5174418604651163,0.0,0.13953488372093023,0.060240963855421686,0.18181818181818182,0.375,0.3263157894736842,0.0425531914893617,0.0,0.0,0.0,0.0,0.012048192771084338,0.0
Bin_1147,0.1,0.0,0.03636363636363636,0.0547945205479452,0.013513513513513514,0.03225806451612903,0.0,0.0,0.1141732283464567,0.009009009009009009,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0
Bin_1148,0.14285714285714285,0.02,0.0,0.2876712328767123,0.0,0.03225806451612903,0.2222222222222222,0.0,0.011811023622047244,0.036036036036036036,0.27325581395348836,0.0,0.09302325581395349,0.0,0.18181818181818182,0.08333333333333333,0.08421052631578947,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bin_1149,0.4,0.12,0.01818181818181818,0.1917808219178082,0.06756756756756757,0.010752688172043012,0.0,0.0,0.14960629921259844,0.018018018018018018,0.4127906976744186,0.0,0.10465116279069768,0.0,0.2727272727272727,0.20833333333333334,0.010526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0
